Q19813642,"Siôn Abel","Welsh poet"
Q19813682,"Bedo Phylip Bach","Welsh poet"
Q19813756,"Catrin ferch Gruffudd ap Hywel","Welsh poet"
Q19819921,"David Randell","MP for Gower from 1888 to 1900"
Q19819945,"William Tudor Howell","MP for Denbigh Boroughs from 1895 to 1900"
Q19819955,"P. Ellis Eyton","MP for Flint Boroughs from 1874 to 1878"
Q19820202,"Catrin ferch Gruffudd ap Ieuan ap Llywelyn Fychan","Welsh poet"
Q19820213,"Mia Arnesby Brown","Welsh artist"
Q19822503,"Amy Parry-Williams","Welsh singer and author"
Q19822507,"Siôn Gibbs","Welsh poet"
Q19829028,"Gwilym Livingstone Evans","Welsh photographer"
Q19829044,"Arwyn Roberts","Welsh photographer"
Q19829075,"D. C. Harries","Welsh photographer"
Q19829084,"Arthur Lewis","Welsh photographer"
Q19829092,"Gwyn Martin","Welsh photographer"
Q19831136,"Ieuan Llwyd Brydydd","Welsh poet"
Q19831138,"Rhys Deganwy","Welsh poet"
Q19831148,"Gwilym ap Sefnyn","Welsh poet"
Q19831778,"Robert Lambert Gapper","Welsh artist"
Q19840274,"Rhodri Jones","Welsh photographer"
Q19843134,"Ray Elton",
Q19848670,"Chalkie Davies","Welsh photographer"
Q1985492,"Nick Reilly",
Q19872799,"Rod Duncan","British writer"
Q19873847,"Ian Hamer","British long-distance runner"
Q19874741,"Thomas Llewellyn Jones","Australian company director and politician"
Q19875292,"Henry Llewelyn","Australian politician"
Q1987718,"Peredur ap Gwynedd","Welsh guitarist"
Q19877328,"Ernest Purnell",
Q19879964,"Lewis Thomas","Australian colliery owner and politician"
Q19880007,"H. H. Tilbrook","19th century photographer"
Q19888021,"John Murray Thomas","Welsh merchant in Patagonia"
Q19894339,"Ralph Bingley","Welsh soldier who settled in Ireland"
Q19903695,"Llewellyn Cadwaladr","Welsh opera singer"
Q19904075,"Siân Gibson","Welsh comedian and actress"
Q19904222,"Bert Hodson","Welsh golfer (1905-1971)"
Q19915198,"David Thomas Gwynne-Vaughan","British botanist (1871-1915)"
Q19921507,"John Wheatley","Welsh painter and engraver"
Q19928849,"Siôn ap Howel ab Owain","Welsh translator of the Rhetorica ad Herennium formerly attributed to Cicero"
Q19928880,"Llywelyn ap Gwilym ap Rhys","Welsh poet"
Q19945904,"Bryn Markham-Jones","British association football referee"
Q19957299,"Chris Davies","Welsh politician and Tory MP (born 1967)"
Q19957303,"James Davies","British politician (born 1980)"
Q19958045,"Janet Haworth","Welsh politician"
Q19958093,"Simon Hoare","British politician (born 1969)"
Q19968719,"Lateysha Grace","Welsh television personality"
Q19974769,"Thomas Hughes Jones","Welsh poet and writer"
Q19975142,"Fred Robson","English professional golfer"
Q19975438,"William Napier Bruce","British lawyer and educationalist"
Q20022443,"Mark Bennett","Welsh rugby player"
Q20031104,"Charles Woolley","British colonial administrator"
Q20051236,"Albert de Belleroche","Welsh painter and lithographer"
Q20054436,"Gwilym Prichard","Welsh artist"
Q20055587,"Sioned Wiliam","Welsh comedy producer and executive"
Q20090102,"Gareth Allen","(former) Welsh Snooker player"
Q20090820,"Ollie Griffiths","Welsh rugby union player"
Q20109574,"Sarah Edwards","American actress (1881-1965)"
Q20109582,"Penelope Evans","British crime writer"
Q20128115,"Jo Stevens","Welsh politician and MP for Cardiff Central (born 1966)"
Q20160474,"Hefina Headon","Welsh community and Human Rights activist"
Q20201367,"Hawys Gadarn","daughter of Owain ap Gruffudd ap Gwenwynwyn (Owen de la Pole) and Joan Corbet"
Q20202170,"Robert Everett","Welsh American who fought against slavery in the USA"
Q2020469,"Kyron Sullivan","professional golfer"
Q20252475,"Edgar Chappell","Welsh sociologist"
Q20263530,"Gwilym Williams","Welsh judge"
Q20266669,"Moc Morgan","British television presenter and naturalist"
Q20277834,"Hafina Clwyd","Welsh author, columnist and feminist"
Q20354071,"John Langford","Welsh author"
Q2039045,"Wyn Morris","Welsh conductor"
Q2047547,"Lewis Robling","rugby player"
Q2047865,"Matthew Pritchard","British daredevil"
Q2048628,"Garry Houston","professional golfer"
Q20534916,"Elinor Crawley","Welsh actress"
Q20555787,"Siôn Llewelyn","Welsh poet"
Q20557508,"Abiah Roderick","Welsh poet"
Q20558361,"Alun 'Sbardun' Huws","Welsh musician and composer"
Q20558419,"Alun Guy","Welsh musician, teacher and author"
Q20558530,"Alwyn Humphreys","Welsh musician, orchestral conductor, author and television presenter"
Q20558584,Allgo,"6th century Welsh saint"
Q20558676,"Andras Millward","Welsh science fiction writer"
Q20559469,"Dyfnwal ap Arthwyr",770-830
Q20560367,"Androw Bennett","British lawyer"
Q20564458,"Richard Owen Davies","Welsh agricultural chemist"
Q20565356,"John Edwards","Welsh poet and writer"
Q20565897,Grwst,"Welsh saint"
Q20567614,"Wyn Lodwick","British musician"
Q20568247,"Richard Parry","Welsh independent minister, poet, and man of letters (1803-97)"
Q20570139,"Siân Gwenllian","Welsh politician and AM (born 1956)"
Q2057711,"Patrick Jones","British poet"
Q2058500,"John Perrot","Lord Deputy to Queen Elizabeth I of England during the Tudor conquest of Ireland"
Q2062366,Tydfil,"Welsh saint"
Q20626265,"Mathew ap Llywelyn Goch","Welsh poet"
Q20629728,"Owen ap Siôn ap Rhys","Welsh poet"
Q20630509,"Anthony Lyn",
Q20631120,"Denise Goddard","British sportsperson"
Q20631337,"Gwenllian Elizabeth Fanny Morgan","Welsh antiquarian, writer and Mayor"
Q20631844,"R. K. Penson","Welsh architect"
Q20638115,"H. Hawkline","Welsh musician"
Q20638154,"Rhisiart Iorwerth","Welsh poet"
Q2064266,Baruc,"Welsh saint"
Q20647531,"Gerald Jones","British politician (born 1970)"
Q20648332,"Christina Rees","Welsh politician and MP (born 1954)"
Q20656901,"Evan William Evans","Welsh-American mathematician"
Q20685042,"Charles Orme","British film producer"
Q20685186,"Lot Hughes","Welsh Wesleyan minister and historian"
Q20685424,"Robert Llugwy Owen","Welsh minister, author and schoolmaster"
Q20687891,"D. H. Jones","Welsh minister, schoolmaster and poet (called ""Dewi Arfon"")"
Q20707550,"Jack Murphy","Welsh cricketer"
Q20707929,"Jeremy Lawlor",cricketer
Q2072451,"Walter Cowan","Royal Navy admiral (1871-1956)"
Q20732615,"Alcwyn Caryni Evans","Welsh antiquarian"
Q20732625,"Annie Davies","better known as Nan , Welsh radio and television producer"
Q20732626,"Annie Foulkes","editor of an anthology (1877 -1962)"
Q20732628,"Arthur ap Gwynn","Welsh librarian"
Q20732632,"Arthur Jones","poet of Llangadwaladr"
Q20732676,"Fanny Mary Katherine Bulkeley-Owen","Welsh author"
Q20732683,"Cadwgan Delynor","Welsh musician"
Q20732689,"Caradog Fynach","Welsh monk"
Q20732690,"Ceinwen Rowlands","Welsh singer"
Q20732696,"Charles Hughes","Welsh publisher"
Q20732729,"Dafydd ap Ieuan Llwyd","Welsh poet"
Q20732748,"Dafydd Llwyd","Welsh patron of bards"
Q20732752,"Dafydd Llwyd Sybylltir","Welsh poet"
Q20732753,"Dafydd Llyfni","Welsh poet"
Q20732760,"Dafydd Siencyn Morgan","Welsh musician"
Q20732768,"Daniel Davies","Welsh Baptist minister"
Q20732772,"Daniel Jones","poet (1725? -1806)"
Q20732773,"Daniel Jones","Methodist cleric (1757 -1821)"
Q20732774,"Daniel Jones","who described himself as ‘General Unitarian Free-communion Baptist minister’ (1771 -1810)"
Q20732775,"Daniel Jones","Baptist minister (1788 -1862)"
Q20732782,"Daniel Rowlands","principal of the Normal College, Bangor (1827 -1917)"
Q20732785,"David Adams","Welsh Congregationalist divine"
Q20732787,"David Bowen","Welsh Baptist minister and editor, called Myfyr Hefin (1874–1955)"
Q20732799,"David Davies Evans","Welsh Baptist minister and editor (1787-1858)"
Q20732805,"David Eirwyn Morgan","college principal and minister (1918-82)"
Q20732817,"David Evans","Welsh Baptist minister, born 1778"
Q20732820,"David Gravell","farmer, herbalist, and publisher (1787-1872)"
Q20732827,"David Howell","Welsh Calvinistic Methodist minister (1797 -1873)"
Q20732842,"David Jones","Welsh Baptist historian (1789?-1841)"
Q20732882,"David Pugh Evans","Welsh musician"
Q20732893,"David Tudor Evans","Welsh journalist and newspaper proprietor"
Q20732900,"David Charles","Welsh minister and hymn writer (1803–1880)"
Q20732908,Dogfael,"Welsh saint"
Q20732928,"Edward Carnes","bookseller and printer at Holywell, Wales"
Q20732936,"Edward Edwards","Welsh musician (1816 -1897)"
Q20732971,"Edward Parry","Welsh publisher and antiquary"
Q20732972,"Edward Randles","British harpist and organist"
Q20732979,"William Rice Edwards","Welsh surgeon"
Q20732990,"Elizabeth Jane Louis Jones","1889 -1952, scholar"
Q20733000,"Ellis Owen Ellis","Welsh artist (1813 -1861)"
Q20733046,"Evan William Evans","editor and publisher (1860 -1925)"
Q20733052,"Fanny Winifred Edwards","schoolteacher, children's writer and dramatist"
Q20733059,"Frank Vivian Emery","Welsh historical geographer"
Q20733065,"George Eyre Evans","Welsh Unitarian minister and antiquary  (1857 -1939)"
Q20733069,"George Lewis","poet and shoemaker (1826? -1858)"
Q20733075,"Gethin Davies","Welsh Baptist minister"
Q20733079,"Grace Wynne Griffith","Welsh novelist"
Q20733098,"Griffith Parry","Calvinistic Methodist minister and author"
Q20733119,"Gwenfron Moss","Welsh pharmacist and missionary"
Q20733138,"Henry Blackwell","bookbinder and bookseller, bibliographer and biographer (1851-1928)"
Q20733139,"Henry Charles","Welsh theologian, writer and mathematician"
Q20733151,"Henry Lloyd","Welsh poet and printer, called Ap Hefin"
Q20733201,"Hugh Owen of Gwenynog","Welsh translator of De Imitatione Christi"
Q20733209,"Hugh William Jones","Welsh Baptist minister and editor"
Q20733217,"Huw ap Dafydd","Welsh poet (fl. 1550–1628)"
Q20733218,"Huw ap Dafydd ap Llywelyn ap Madog","Welsh poet (fl. c. 1526–1580)"
Q20733219,"Huw ap Morus","Welsh harpist"
Q20733220,"Huw ap Rhisiart ap Dafydd","Welsh poet"
Q20733222,"Huw Arwystli","Welsh poet, fl. 1550"
Q20733255,"Iestyn Rhys Williams","Welsh official of the National Coal Board"
Q20733263,"Ieuan ap Ieuan ap Madog","Welsh scribe"
Q20733264,"Ieuan ap Llywelyn Fychan","Welsh poet"
Q20733295,"Ivor Bowen","Welsh county court judge (1862-1934)"
Q20733318,"James Henry Howard","Welsh preacher, author and socialist"
Q20733334,"James Rees","Welsh printer and publisher"
Q20733341,"Jenkin Howell","printer, writer, musician (1836-1902)"
Q20733348,"John Emlyn Jones","Baptist minister, poet, and man of letters (1818 -1873)"
Q20733356,"John Bird","landscape painter (1768 -1829)"
Q20733357,"John Breese","Welsh independent minister"
Q20733362,"John Daniel","printer at Carmarthen (1755?-1823)"
Q20733386,"John Davies","printer and journalist (1832 -1904)"
Q20733459,"John Humphreys","Calvinistic Methodist minister and author (1767 -1829)"
Q20733465,"John James","Welsh Baptist minister, hymn writer, bookbinder and printer (1777-1848)"
Q20733478,"John Jenkins","Baptist minister, theologian, editor, and publisher (1779 -1853)"
Q20733480,"John Jenkins","Welsh barrister and publicist (1808-1884)"
Q20733482,"John Jenkins","editor and translator"
Q20733506,"John Jones","Welsh printer"
Q20733522,"John Jones","Welsh Wesleyan minister (1825–1889)"
Q20733579,"John Ossian Davies","Welsh Congregationalist minister and author"
Q20733619,"John Pryse","Welsh printer and publisher"
Q20733678,"John William Hughes","literary tramp"
Q20733752,"Judith Godwin","one of Howel Harris's correspondents (d.1746)"
Q20733774,"Lewis Davies Jones","eisteddfodwr (1851 -1928)"
Q20733815,"Lleision ap Thomas","Welsh abbot"
Q20733847,"Llywarch ap Bran","founder of one of the ‘Fifteen Noble Tribes of Gwynedd’"
Q20733853,"Llywelyn ap Gutun","Welsh poet"
Q20733879,"Mary Anne Edmunds","educationist; 1813 -1858"
Q20733881,"Mary Davies","Welsh poet, called Mair Eifion"
Q20733903,"Megan Watts Hughes","Welsh singer, songwriter and philanthropist"
Q20733915,"Meurig Dafydd","Welsh professional bard"
Q20734137,"Peter Maelor Evans","publisher, Holywell (1817-1878)"
Q20734182,"Ieuan Rees-Davies","Welsh musician and author"
Q20734280,"Richard Hughes","Welsh printer and publisher"
Q20734300,"Richard Owen","Welsh translator (fl. 1552)"
Q20734303,"Richard Rees","Welsh Arminian Independent minister"
Q20734313,"Robert Baugh","Welsh engraver, map-maker and surveyor"
Q20734338,"Robert Humphreys","Welsh poet; fl. circa 1720"
Q20734352,"Robert Oliver Rees","apothecary, publisher, and author (1819 -1881)"
Q20734388,"Samuel Evans","editor (1793-1856)"
Q20734392,"Samuel Maurice Jones","Welsh artist"
Q20734393,"Sarah Winifred Parry","writer and editor of Cymru'r Plant from 1908 to 1912"
Q20734424,"Thomas Cropper","Welsh antiquary (1869-1923)"
Q20734464,"Thomas Huws Davies","secretary to the Commissioners of Church Temporalities in Wales, litt?rateur and collector of books (1882 -1940)"
Q20734465,"Thomas Huxley","printer in Chester"
Q20734488,"Thomas Jones","Welsh poet (1820 -1876)"
Q20734489,"Thomas Jones","doctor and musician (1822 -1854)"
Q20734533,"Thomas Thomas","Welsh cleric and historian"
Q20734579,"William Cadwaladr Davies","Welsh educationist (1849 -1905)"
Q20734614,"William Evans","colliery official and poet (1808 -1860 )"
Q20734615,"William Evans","musician (1836 -1900)"
Q20734616,"William Frederick Frost","Welsh harpist"
Q20734627,"William Griffiths","choral conductor and adjudicator (1830 -1910)"
Q20734633,"William Hope","Welsh poet (fl. 1765)"
Q20734636,"William Howells","Welsh Calvinistic Methodist minister"
Q20734641,"William Hughes","Welsh printer and publisher"
Q20734647,"William James","Welsh Unitarian minister, schoolmaster, and public worker (1848–1907)"
Q20734667,"William Jones","Welsh antiquarian, local historian, geologist and collector of folklore"
Q20734688,"William Owen","Welsh antiquarian, born 1785"
Q20734699,"William Prytherch","Calvinistic Methodist minister (1804 -1888)"
Q20734704,"William Robert Ambrose","Welsh Baptist minister and antiquarian"
Q20734716,"John Clough Williams-Ellis","Welsh scholar, cleric and poet"
Q20737482,"Eric Corbett","clergyman (1917-2002)"
Q20738024,"David Bowen","Welsh Baptist minister from Felinfoel (1774–1853)"
Q20738028,"David Caxton Davies","Welsh printer and company director"
Q20738082,"Hugh Humphreys","Welsh printer and publisher"
Q20738132,"Margaret Jones","Welsh travel writer (1842-1902)"
Q20738149,"Richard Thomas Evans","Welsh Baptist minister and administrator"
Q20738162,"Thomas Howells","collier, printer, poet, preacher, and musician (1839-1905)"
Q20738177,"William Bevan Lewis","Welsh alienist"
Q20738190,"William Rees","Welsh printer and publisher"
Q20738563,"John Evan Thomas","Welsh teacher and writer"
Q20744651,"Julian Philips","Welsh composer"
Q20746350,"Sarah Vine","British columnist"
Q20746780,"Laura Evans-Williams","Welsh singer"
Q20746783,"George Daniel Jones","Welsh master printer"
Q20746796,"Hugh Pugh","Welsh Independent minister, born 1803"
Q20746800,"Idris Lewis","Welsh musician"
Q20746821,"Kathryn Jenkins","Welsh scholar and hymnologist (1961–2009)"
Q20746827,"Maria James","Welsh-born American poet"
Q20746829,"Meirion Jones","Welsh educationist"
Q20746841,"Rolant Eames","Welsh musician"
Q20746842,"Sampson Thomas","Welsh Calvinist Methodist exhorter"
Q20748812,"Abraham Williams","Welsh Independent minister"
Q20748813,"Bleddyn Jones Roberts","Welsh Biblical scholar"
Q20748814,"Daniel Thomas Phillips","Welsh Baptist minister and American consul"
Q20748815,"David James","Welsh author, called Defynnog"
Q20748817,"David Roderick","British cleric and schoolmaster"
Q20748820,"Edward ap Roger","Welsh collector of manuscripts and poet"
Q20748821,"Edward Phillips","Welsh cleric"
Q20748822,"Ellen Evans","principal of the Glamorgan Training College, Barry"
Q20748823,"Emlyn Evans Lewis","Welsh plastic surgeon"
Q20748824,"Evan Moses","associate of Howel Harris, a Welsh religious reformer"
Q20748826,"Evan Richardson","Welsh Calvinistic Methodist minister"
Q20748827,"Evan Watkin","Welsh schoolmaster and writer"
Q20748828,"Evan Williams","Welsh bookseller and publisher"
Q20748829,"Ezekiel Thomas","Welsh Calvinistic Methodist minister and author"
Q20748831,"Griffith William Hughes","Welsh accountant and musician"
Q20748833,"Gwilym Gwalchmai Jones","Welsh musician"
Q20748834,"Gwilym Wynne Griffith","Welsh physician and Medical Officer of Health"
Q20748837,"Humfrey Toy","Welsh merchant"
Q20748838,"Idris Frederick Parry","Welsh scholar of German literature, writer and broadcaster"
Q20748839,"Isaac John Williams","first Keeper of Art at the National Museum of Wales"
Q20748840,"Ithel ap Robert","Welsh archdeacon"
Q20748841,"Iwan James Morgan","Welsh extra-mural tutor and politician"
Q20748842,"James Phillips","Welsh cleric and antiquarian"
Q20748844,"Jedediah Richards","Welsh hymnist and itinerant bookseller"
Q20748849,"John David Lewis","founder of Gwasg Gomer, a Welsh printing press"
Q20748857,"Llywelyn ap Cynfrig Ddu","Welsh poet"
Q20748859,"Margaret Thomas","Welsh hymnwriter"
Q20748860,"Micah Thomas","Welsh Baptist minister"
Q20748861,"Morgan Williams","Welsh cleric and editor"
Q20748862,"Morgan Williams","Welsh Chartist"
Q20748863,"David John Owen","Welsh docks manager"
Q20748864,"Owen Davies Tudor","Welsh legal writer"
Q20748866,"Owen Rees","Welsh Independent minister"
Q20748900,"William Evans","Welsh hymn writer"
Q20748901,"William Lewis Davies","Welsh chemist"
Q20748903,"William Morris","Welsh Calvinistic Methodist minister"
Q20751795,"Alan Trevor Jones","Welsh health service administrator"
Q20751796,"Benjamin Haydn Williams","Welsh education officer"
Q20751797,"David Glyn Bowen","Welsh minister and theologian"
Q20751798,"David Tegan Davies","Welsh Congregationalist minister"
Q20751800,"Edmund Williams","Welsh hymn-writer"
Q20751802,"Edwin Stephen Griffiths","Welsh businessman and philanthropist"
Q20751804,"George Rowland Edwards","Welsh soldier and landowner"
Q20751806,"Gwilym Ceri Jones","Welsh Presbyterian minister and poet"
Q20751807,"James Jubilee Young","Welsh Baptist minister"
Q20751808,"Jenkin Alban Davies","Welsh businessman and philanthropist"
Q20751809,"John Daniel Davies","Welsh editor and author"
Q20751811,"John Hugh Michael","Welsh Methodist minister"
Q20751827,"Susannah Jane Rankin","Welsh Congregational minister and missionary"
Q2078620,"Peter Temple-Morris, Baron Temple-Morris","British politician (1938-2018)"
Q20804546,Beulan,"Welsh monk of the 11th century"
Q20804657,"Mary Jane Evans","elocutionist (1888 -1922)"
Q20804709,"Griffith Williams","Welsh Calvinistic Methodist minister and author (1824–1881)"
Q20804715,"John Cox","printer, bookseller, and postmaster at Aberystwyth"
Q20804739,"Mary Owen","Welsh hymn-writer"
Q20804764,"Robert Thomas","Calvinistic Methodist preacher a ‘character’ (1796 -1866)"
Q20804801,"Thomas Roberts","1735 -1804, member of the ‘Trevecka Family’"
Q20804803,"Thomas Roberts","first printer at Caernarvon (1760 -1811)"
Q20804828,"William Griffiths","Welsh bookseller"
Q20810495,"Silvanus Bevan","Welsh local politician"
Q20811173,"Thomas Lewis","Australian miner and politician born in Wales"
Q20821089,"Arthur Hughes","HUGHES, ARTHUR (1878 -1965), Welsh writer"
Q20821090,"Bertie George Charles","Welsh scholar and archivist"
Q20821103,"David Hughes","Welsh poet and publisher"
Q20821113,"David Williams","early Welsh Moravian (1702 -1779)"
Q20821131,"Evan Lloyd","printer and publisher in Mold (1800-1879)"
Q20821146,"Hugh Jones","Welsh Calvinistic Methodist minister (1830 -1911)"
Q20821177,"John Thomas","chemist (1886 -1933)"
Q20821186,"William Jones","Welsh administrator and politician (1888-1961)"
Q20821219,"Thomas Carrington","Welsh musician and printer, called Pencerdd Gwynfryn"
Q20821230,"Tom Ellis Jones","Welsh Baptist minister and college principal"
Q20821233,"William Davies","Welsh historian, born 1874"
Q20821456,"William Saunders","Poet and writer"
Q20821460,"William Williams","Calvinistic Methodist minister and author (1817 -1900)"
Q2084377,"Mike Peters","Welsh musician and lead singer of The Alarm"
Q20858102,"John McGrath","British artistic director"
Q2086073,"Philip Bruce White","British microbiologist"
Q2086251,"Philip Jenkins","British historian"
Q20865154,"Derek Williams","Welsh broadcaster"
Q20878060,"William Robert Maurice Wynne",(1840-1909)
Q20888933,"Owen Morris Roberts",
Q20890214,"Catherine Prichard","Welsh poet"
Q20942797,"Ken Jones","Welsh Buddhist activist, poet, and teacher"
Q20955871,"Huw M.","Welsh singer-songwriter"
Q2097638,"Math fab Mathonwy","king in Welsh mythology"
Q2099688,"Mike Lewis","British musician"
Q21000502,"Geraint Stanley Jones","Welsh television executive"
Q2102183,"Ritchie Davies","British darts player"
Q21030575,"Charles Gough Howell","Welsh lawyer and British colonial official"
Q21030617,"The Gentle Good","Welsh musician"
Q21030620,"Stephen Thomas","British Paralympic sailor (born 1977)"
Q21030640,"Owen Harris","Welsh politician"
Q21032001,"Peter Rudeforth",
Q21035496,"William Jones",
Q21038704,"Illtyd Harrington","Welsh politician"
Q21061998,"Meredith Etherington-Smith","British fashion and art journalist"
Q21062381,"Roger Matthews","British archaeologist"
Q21064622,"Matt Protheroe","rugby union player"
Q210669,"Ken Follett","British novelist"
Q21078463,"Eddie Dowdall","Welsh rugby union and rugby league footballer"
Q21078465,"Edward Enoch Jenkins",
Q21104246,"Peter Molan",
Q21155105,"Charles Cullum","Welsh actor"
Q21165253,"Anthony Trafford James","6 March 1922 - 7 December 2006"
Q21176250,"Les Pearce","Welsh rugby union footballer, and rugby league footballer and coach"
Q21176942,"Richard Methuen Greaves",
Q2119026,"Liam Bond","professional golfer"
Q2120207,"Jeffrey Thomas","Welsh-born New Zealand actor"
Q21284929,"Paul Emanuelli","Welsh rugby league footballer and coach"
Q21285653,"Geraint Walsh","Welsh rugby union player"
Q2133976,"Ray Smith","British actor (1936-1991)"
Q21345541,"Jack Godderis","Belgian painter (1916-1971)"
Q2135567,"Barrie Bates","British darts player"
Q21387484,"David Allen Lewis Davies",
Q2140313,"William Henry Preece","British scientist"
Q2142612,"Martin Phillips","Welsh darts player"
Q21455263,"Alfred Oliver","British painter (1868-1943)"
Q21455692,"Manon Awst","Welsh artist and poet (born 1983)"
Q21456839,"James Flewitt Mullock","British painter (1818-1892)"
Q21457000,"Elinor Evans","Welsh painter"
Q21457350,"James Malcolm Rielly","British painter"
Q21457627,"Elwyn Ioan","Welsh artist, cartoonist and author"
Q21459193,"Fanny Price-Gwynne","Welsh novelist, artist, composer, poet and philanthropist (1819-1901)"
Q21459585,"Joan Baker","British artist, teacher (1922–2017)"
Q21460388,"Nerys Ann Johnson","Welsh-born artist and curator"
Q21460680,"John Cambrian Rowland",painter
Q21461712,"John Harvey","artist, born 1959"
Q21462817,"Vincent Evans","Welsh artist"
Q21463908,"Wilf Roberts",
Q21467261,"David Mainwaring","Welsh artist"
Q21470102,"Frank Cox","Welsh entertainer"
Q21470103,"Fred Cox","Welsh entertainer"
Q21474189,"Dafydd Hellard","Welsh rugby league footballer and coach"
Q21480955,"John Pughe","Welsh physician and surgeon"
Q21481534,"John Williams","Welsh author"
Q2148362,"Rhys Williams","Welsh actor (1897-1969)"
Q215017,"Rhys Ifans","Welsh actor and musician"
Q2150376,"Richard Pearson","English actor"
Q21513430,"Graham C. D. Griffiths","Welsh-Canadian entomologist and botanist (1937-2009)"
Q21521789,"John Neilson",musician
Q21521815,"Wynne Melville Jones","Welsh artist"
Q21524435,"John F. C. Richards","American classical philologist"
Q21524668,"Peter K. Marshall","British-American classical philologist (1934-2001)"
Q21536459,"Margaret Jane Gordon","(1880-1962) singer"
Q21544278,"Thomas Howell","Welsh philanthropist"
Q21548870,"Wilson Jones","1795 - 1864 (Mr)"
Q215502,"Henry Morgan","Welsh pirate"
Q2156106,"Rob Wainwright","Welsh civil servant"
Q2159761,"Robin Davies","British actor (1954-2010)"
Q21597973,"Ray Jessel","Welsh songwriter, screenwriter, orchestrator, and musical theatre composer"
Q21605189,"Lloyd Robinson","English cricketer (1912-1996)"
Q2160835,"Eleanor de Clare","powerful English (Welsh) noblewoman who married Hugh Despenser the Younger and was a granddaughter of Edward I of England"
Q21620859,"Adam Beard","Welsh rugby union player"
Q21621263,"Jarrod Evans","Welsh rugby union player"
Q21621265,"Lloyd Evans","Welsh rugby union player (1990-)"
Q21621505,"Rhodri Hughes","Welsh rugby union player"
Q21621580,"Aled Jenkins","rugby player"
Q21621583,"Owen Jenkins","Welsh rugby union player"
Q21621825,"Dillon Lewis","Welsh rugby union player"
Q21621829,"Josh Lewis","Welsh rugby union player (1992-)"
Q21622291,"Scott Otten","Welsh rugby union footballer"
Q21622920,"Garyn Smith","Welsh rugby union player"
Q21622998,"Dan Suter","Welsh rugby union player (1993-)"
Q21623285,"Owen Watkin","Welsh rugby union player"
Q2163367,"Jan Robbins","Welsh darts player"
Q21642411,"Hannah Daniel","Welsh actress and television presenter"
Q2165437,"Ron Griffiths","British singer"
Q216700,"Roger Glover","Welsh bassist, keyboardist, songwriter and record producer"
Q2172000,"Katherine Philips","Anglo-Welsh poet and translator"
Q21727807,"John Ingleby",artist
Q21751004,"Hadyn Ellis","Welsh psychologist"
Q21856725,"Edward Stanley","Member of Parliament, died 1564"
Q21857916,"Roger Hackney","Welsh long-distance runner"
Q2186278,"Robert Jones","recipient of the Victoria Cross, born 1857"
Q219700,"Andy Whitfield","Welsh actor"
Q21997796,"Ida Gaskin","New Zealand politician and teacher (1919-2016)"
Q21999572,"Robert Nisbet",
Q21999672,"Kevin Hopkins","Welsh rugby union footballer and coach"
Q22007406,"John Pettigrew","CEO of the UK's National Grid"
Q22098316,"John Thomas","cricketer (1852-1915)"
Q2210169,"Marshall James","Welsh darts player"
Q22107712,"Chris J. Hodgson","Welsh entomologist"
Q22109648,"P. Graham Oliver","Welsh malacologist"
Q22113503,"John S. Noyes","Welsh entomologist"
Q22117202,"Margaret Tisdale","Welsh Clinical Virologist"
Q2216291,"Micky Jones",
Q221876,"Chris Bell","writer/editor/record company runner"
Q2223400,"Imogen Thomas","Welsh model"
Q22234320,"Mary Dilys Glynne","Welsh plant pathologist and mountaineer"
Q2224511,"Sarah Thomas","badminton player"
Q2227475,"Saul David","British military historian"
Q22277003,"Remy Beasley","Welsh actor"
Q22277869,"Daniel Gammond",
Q22277934,"Oncle Gilbert",
Q22278255,"Edwin Humphreys","musical artist"
Q22278271,"Dafydd Hywel","Welsh actor"
Q22284870,"Jean-Baptiste Bruzulier","rugby union player"
Q2253212,"Gruffydd ap Rhys II","Welsh prince, died 1201"
Q225604,"Henry of Grosmont, 1st Duke of Lancaster","English diplomat and writer, born in Wales"
Q22583546,"Margaret Courtenay","Welsh actress (1923-1996)"
Q2265631,"David Barry","British actor"
Q22683128,"Tomos Efans","Welsh poet and Baptist minister"
Q22687967,"Thomas Thomas","Welsh architect"
Q22695859,"Brian Davies","Welsh actor"
Q22696572,"Owen John",
Q22696576,"Harriet Lewis",
Q22703903,"Eirlys Britton","Welsh actress"
Q22704062,"Rebecca Harries","Welsh actress"
Q22704087,"Ioan Hefin","Welsh actor"
Q2271991,"Walter Marshall, Baron Marshall of Goring","British peer and scientist (1932-1996)"
Q22742,"George Edward Luckman Gauntlett","teacher of English and educator in Japan"
Q2276821,"Shane Clash","British biathlete"
Q2279901,"Mark Mouland","professional golfer"
Q22815213,"Marged ferch Tomos","grandmother of Owen Tudor, wife of Tudur ap Goronwy (d. 1367)"
Q2282661,"Carol Ap Rhys Pryce","British mercenary"
Q2287423,Dwynwen,"5c Welsh saint"
Q2293838,"Gordon Thomas","British author"
Q22941875,"Jess Davies","Welsh model"
Q22950515,"Eirian Llwyd","Welsh printmaker (1951–2014)"
Q2295972,"Gwylog ap Beli","Ruler of Kingdom of Powys"
Q22962608,"Frances Elizabeth Wynne","Amateur Welsh artist (1836–1907)"
Q23000846,"Trystan Llŷr Griffiths",singer
Q23001673,"Thereza Dillwyn Llewelyn","Welsh photographer and astronomer (1834-1926)"
Q23002068,"Louie Myfanwy Thomas","Welsh writer"
