Q100154,"Emmy Klieneberger-Nobel","German Jewish microbiologist"
Q176172,"E. R. Dodds","Irish classical scholar"
Q176368,"Harold Gilman","English painter (1876-1919)"
Q176472,"William Henry Smith","English bookseller, newsagent and politician (1825–1891)"
Q176524,"John Bright","British Radical and Liberal statesman 1811-1889"
Q177235,"Edward Carson, Baron Carson","Irish politician, barrister and judge (1854-1935)"
Q177328,"Brandon Thomas","British dramatist and actor"
Q177863,"Charles James Briggs","British Army officer"
Q177999,"John Condon",boxer
Q178415,"William Henry Bell","English composer, conductor and lecturer"
Q179059,"A. J. Cronin","Scottish novelist"
Q179126,"John Ruskin","English writer and art critic (1819-1900)"
Q179374,"Robert Owen","Welsh social reformer (1771-1858)"
Q179496,"Margaret Leighton","actress from England"
Q179638,"Henry Holland","English architect"
Q179854,"Sidney Lee","English biographer and critic"
Q180110,"Stewart Rome","British silent movie actor (1886-1965)"
Q180143,"McDonald Bailey","British sprinter of Trinidad and Tobago descent"
Q181230,"Elizabeth Haffenden","British costume designer"
Q181512,"Vivian Woodward","English footballer (1879-1954)"
Q181538,"Rudolf Abel","Soviet intelligence officer"
Q181618,"Edgar Mittelholzer","Guyanese writer"
Q181786,"Ronald Colman","British actor"
Q181875,"Robert Peel","British Prime Minister, Conservative statesman, and art collector (1788-1850)"
Q181887,"Rex Harrison","English actor"
Q182543,"William Samuel Johnson","British-American politician (1727-1819)"
Q182568,"James Richardson",explorer
Q182589,"William Morris","English textile designer, poet, novelist, translator, and socialist activist (1834-1896)"
Q182705,"Stan Cullis","English footballer and manager (1916-2001)"
Q182784,"Arnold Lunn","British writer and skier"
Q182915,"William Henry","British chemist who formulated the law on the solubility of gases into liquids"
Q183094,"Adam Ferguson","Scottish philosopher and historian"
Q183105,"Randolph Churchill","British politician, son of British Prime Minister Winston Churchill (1911-1968)"
Q183189,"James Croll","British scientist"
Q183245,"George Frederic Watts","British painter and sculptor (1817-1904)"
Q183409,"Cecil Williams","British politician (1909-1979)"
Q183567,"William Balfour Baikie","British explorer and scientist"
Q184366,"Thomas Henry Huxley","English biologist and comparative anatomist (1825-1895)"
Q184499,"Patrick Blackett, Baron Blackett","British physicist (1897-1974)"
Q184780,"Charles Elliot","British Royal Navy admiral (1801-1875)"
Q184862,"John Richard Hicks","British economist"
Q184992,"Bronisław Malinowski","Polish anthropologist and ethnographer based in England and the USA"
Q185188,"John Conroy","British army officer who served as comptroller to the Duchess of Kent; (1786-1854)"
Q185450,"Pierre Louis Napoleon Cavagnari","British East India Company Army officer"
Q185621,"William Adams","Locomotive Superintendent of several railways"
Q185850,"Christopher R. W. Nevinson","British artist (1889-1946)"
Q186208,"Jimmy Collinson","English footballer (1876-1940)"
Q186265,"William Burges","English architect"
Q186748,"Dante Gabriel Rossetti","English poet, illustrator, painter, and translator (1828-1882)"
Q186951,"Young Tom Morris","Scottish professional golfer"
Q187330,"H. F. M. Prescott","British writer and historian"
Q187349,"Dr. John Watson","fictional character of Sherlock Holmes"
Q187660,"Charles Powlett, 2nd Baron Bayning","British politician (1785-1823)"
Q188225,"Géza Vermes","British scholar"
Q188569,"William Godwin","English journalist, political philosopher and novelist"
Q189119,"E. M. Forster","English novelist (1879-1970)"
Q189453,"Zena Marshall","British actress"
Q189552,"William Crookes","British chemist and physicist"
Q189841,"Randal Cremer","English politician (1828-1908)"
Q190568,"Eadweard Muybridge","English-American photographer"
Q191026,"Francis Galton","English polymath: geographer, statistician, pioneer in eugenics"
Q191819,"George Martin","English record producer, arranger, composer, conductor, audio engineer and musician"
Q191963,"John Edward Gray","British zoologist and philatelist (1800–1875)"
Q193656,"Henry Temple, 3rd Viscount Palmerston","British statesman and prime minister (1784–1865)"
Q194621,"Edith Austin","British tennis player"
Q195013,"Nancy Astor, Viscountess Astor","first female Member of Parliament to take her seat (1879-1964)"
Q195768,"Constance Markievicz","Irish politician, first woman elected to the Westminster House of Commons and the Dáil Éireann, and first female Cabinet member in Europe"
Q196055,"Edward James","British poet and arts patron"
Q197701,"Barnett Stross","British doctor and politician (1899-1967)"
Q198021,"Jamie Hamilton","British rower and publisher"
Q198177,"John Bayley","English antiquary"
Q199327,"Leslie Norman","British film director, editor, screenwriter and producer"
Q199724,"Rotha Lintorn-Orman","British fascist"
Q200454,"George Chrystal","British mathematician"
Q200564,"James Clark Ross","British explorer and naval officer (1800-1862)"
Q200666,"Robert Fortune","British botanist"
Q200867,"Gustav Holst","English composer"
Q200911,"J. Rendel Harris","English biblical scholar"
Q200913,"Barbara Wootton, Baroness Wootton of Abinger","British sociologist and criminologist (1897-1988)"
Q200921,"Francis Barraud","British painter (1856-1924)"
Q201153,"Lord Thomas Howard","English duke"
Q201164,"William Sterndale Bennett","British musician"
Q201282,"Thomas Gore Browne","British colonial administrator (1807-1887)"
Q201893,"Fortune Gordien","athletics competitor"
Q201988,"Walter George","British distance runner"
Q202245,"James Ryan","Irish politician (1891-1970)"
Q202936,"James Starley","British businessman"
Q203440,"Joe Loss","British musician"
Q203732,"Tom Armstrong","British football player (1898-1967)"
Q204236,"John Fryer","English sailing master"
Q204358,"Shirley Waldemar Baker","Prime Minister of Tonga (1839-1903)"
Q204363,"Edward Hodges Baily","sculptor from England, UK"
Q204473,"Robert Darwin","English medical doctor and the father of the naturalist Charles Darwin"
Q204600,"Norman Haworth","British chemist"
Q204631,"Henry Galway","British Colonial Governor (1859-1949)"
Q204864,"Princess Helena Victoria of Schleswig-Holstein","British princess"
Q204936,"Kate Greenaway","British artist (1846-1901)"
Q204960,"Harry Welfare","English footballer and manager (1888-1966)"
Q205777,"Charles Shaw-Lefevre, 1st Viscount Eversley","British Whig politician (1794-1888)"
Q206176,"Andrew Combe","British physician and phrenologist"
Q206191,"Abigail Adams","2nd First Lady of the United States (1797–1801)"
Q206237,"Matt Busby","Scottish football player and manager (1909-1994)"
Q207380,"Isambard Kingdom Brunel","British mechanical and civil engineer (1806-1859)"
Q207515,"P. G. Wodehouse","English author"
Q207672,"William Wilberforce","English politician (1759-1833)"
Q208448,"Augustus De Morgan","British mathematician, philosopher and university teacher (1806-1871)"
Q209186,"James Mason","English actor (1909–1984)"
Q209911,"Harry Hill","English racing cyclist"
Q209922,"Charles King","English cyclist"
Q210740,"Wilkie Collins","British writer"
Q211519,"Emmeline Pankhurst","English suffragist (1858-1928)"
Q211763,"William Holman Hunt","Pre-Raphaelite artist (1827-1910)"
Q212100,"Leslie Godfree","English tennis player"
Q212127,"William Perkins","English cleric and Puritan theologian"
Q212509,"William Lane","British born journalist active in Australia and New Zealand. Founding member of New Australia a utopian socialist settlement in Paraguay"
Q212692,"Arthur Sullivan","English composer of the Gilbert & Sullivan duo"
Q212700,"Charles Napier","British Royal Navy admiral (1786-1860)"
Q212719,"Wilfred Owen","English poet and soldier (1893-1918)"
Q212754,"John William Waterhouse","English painter (1849-1917)"
Q213009,"Benjamin Cowburn","French resistance member"
Q213150,"Charles Williams-Wynn","British politician (1775-1850)"
Q213374,"James Connolly","Irish republican and socialist leader (1868-1916)"
Q213573,"Prince Frederick, Duke of York and Albany","British prince (1763-1827)"
Q213756,"Robert FitzRoy","career officer of the Royal Navy and scientist (1805-1865)"
Q214416,"Franz Reizenstein","British composer"
Q214772,"Charles Beyer","Locomotive engineer"
Q215621,"Eduard Fraenkel","German-British classical philologist"
Q215762,"Joseph Merrick","English man with severe deformities"
Q215786,"Edward Smith","captain of the RMS Titanic"
Q215937,"Fred Uhlman","German-English writer, painter and lawyer of Jewish origin (1901-1985)"
Q216129,"Horatio Kitchener","senior British Army officer and colonial administrator (1850-1916)"
Q216406,"Edward Burne-Jones","British Pre-Raphaelite painter (1833-1898)"
Q216811,"John Venn","English logician and philosopher"
Q216838,"Robert Southey","British poet (1774-1843)"
Q217157,"Richard Trevithick","British inventor and mining engineer (1771-1833)"
Q218270,"Stanley Rous","President of FIFA (1895-1986)"
Q218698,"Jerome K. Jerome","English humorist (1859-1927)"
Q218845,"Zoltan Korda","film director, film producer"
Q219086,"Mungo Park","Scottish naturalist and explorer of the African continent"
Q219352,"Harry Allen","footballer (1866-1895)"
Q219731,"George Canning","British Prime Minister, statesman, and politician (1770-1827)"
Q219784,"Lawrence Durrell","British novelist, poet, dramatist, and travel writer"
Q219895,"Matthew Flinders","English navigator and cartographer (1774-1814)"
Q221110,"Arthur Hastings","fictional character created by Agatha Christie; the companion, friend and aide to detective Hercule Poirot"
Q221912,"Frank Ludlow","English army officer and naturalist (1885-1972)"
Q222116,"John Boyd Dunlop","Scottish inventor"
Q222458,"Frederick Stanley, 16th Earl of Derby","British politician and Governor General of Canada (1841-1908)"
Q222693,"Francis D'Arcy-Osborne, 7th Duke of Leeds","British politician (1798-1859)"
Q222988,"Arthur Geoffrey Walker","British mathematician"
Q223013,"Hugh Falconer","Scottish scientist (1808–1865)"
Q223235,"Francis Lewis","Signatory of the US Declaration of Independence, from Wales"
Q224382,"Thomas Wilde, 1st Baron Truro","British lawyer, judge and politician"
Q225392,"John Redmond","Irish politician (1856-1918)"
Q225863,"Josephine Butler","British feminist and social reformer fighting to end child prostitution"
Q225904,"John Webster","English dramatist (1578-1634)"
Q228494,"Elizabeth Barrett Browning","English poet, author"
Q229226,"Elizabeth Gaskell","British author"
Q230120,"Julia Margaret Cameron","19th century British photographer (1815–1879)"
Q230491,"Mary Anning","British fossil collector, dealer, and paleontologist (1799-1847)"
Q231360,"Gertrude Bell","English writer, traveller, political officer, archaeologist, spy (1868-1926)"
Q231525,"Olave Baden-Powell","World Chief Guide"
Q231708,"Edith Nesbit","English author and poet"
Q231776,"Margot Fonteyn","English ballerina"
Q231944,"Ann Radcliffe","English author and pioneer of the Gothic novel (1764-1823)"
Q232149,"William John Macquorn Rankine","civil engineer"
Q232899,"Mary Dyer","Quaker martyr"
Q233265,"Robert Browning","English poet and playwright (1812 – 1889)"
Q233516,"Louise, Princess Royal","third child and eldest daughter of Edward VII of the United Kingdom and Alexandra of Denmark"
Q233992,"Spencer Perceval","19th-century prime minister of the United Kingdom (1762–1812)"
Q233997,"Princess Mary Adelaide of Cambridge","mother of Queen Mary, the consort of George V"
Q234050,"Erasmus Darwin","English physician, botanist; member of the Lunar Society (1731-1802)"
Q234171,"Princess Lilian, Duchess of Halland","Welsh model who became a member of the Swedish royal family"
Q234244,"Anna Leonowens","British educator and writer"
Q234482,"Princess Elizabeth of the United Kingdom","Member of the British Royal Family (1770-1840)"
Q234542,"Princess Victoria of the United Kingdom","fourth child and second daughter of Edward VII and Alexandra of Denmark"
Q234570,"Harriet Martineau","English writer and sociologist"
Q234572,"Elizabeth Blackwell","American physician, abolitionist, women's rights activist (1821-1910)"
Q234746,"Sarah Siddons","Welsh actress"
Q234793,"Joan Robinson","English economist"
Q234811,"Emma, Lady Hamilton","Mistress of Lord Nelson"
Q235299,"Gladys Cooper","British actress (1888-1971)"
Q235464,"Elizabeth Garrett Anderson","English physician and feminist (1836-1917)"
Q235521,"Princess Alice, Countess of Athlone","daughter of Prince Leopold, Duke of Albany, and Princess Helena of Waldeck and Pyrmont (1883-1981)"
Q235525,"Mary Kingsley","English ethnographer, scientific writer and explorer"
Q235597,"Princess Beatrice of Saxe-Coburg and Gotha","British princess (1884-1966)"
Q235644,"Georgiana Cavendish, Duchess of Devonshire","English socialite, style icon, author, and activist"
Q235665,"Lady Caroline Lamb","English writer"
Q235903,"Evelyn De Morgan","Pre-Raphaelite artist (1855-1919)"
Q236586,"Princess Mary, Duchess of Gloucester and Edinburgh","(1776-1857); British princess, daughter of George III"
Q236596,"Christina Rossetti","English poet"
Q236718,"Edith Evans","British actress (1888-1976)"
Q237024,"Barbara West","survivor of the sinking of the RMS Titanic"
Q237196,"H. Rider Haggard","English writer of adventure novels"
Q237271,"Henry Thomas Colebrooke","English linguist"
Q237575,"Maria Edgeworth","Irish writer (1768-1849)"
Q237758,"Sophie Gengembre Anderson","French-born British artist (1823-1903)"
Q237829,"Edward Smith-Stanley, 14th Earl of Derby","British Prime Minister (1799-1869)"
Q237951,"Douglas Hyde","first President of Ireland; historian, poet, and folklorist (1860-1949)"
Q238458,"Princess Augusta of Great Britain","British princess (1737-1813)"
Q238948,"Typhoid Mary","infected houseworker in New York City"
Q239144,"Sidney Paget","English illustrator"
Q239157,"Robert Henry Codrington","Anglican priest and anthropologist (1830-1922)"
Q239251,"Mary Ann Nichols","Whitechapel murder victim"
Q239283,"Lottie Dod","English tennis player"
Q239441,"Agnes Howard, Duchess of Norfolk","British noble"
Q239540,"Augusta, Lady Gregory","Irish playwright, poet, folklorist"
Q239780,"Leonard Johnston Wills","British geologist"
Q240238,"Bessie Love","American actress (1898–1986)"
Q240526,"Lawrence Alma-Tadema","Dutch-born British painter (1836–1912)"
Q240633,"James Nasmyth","Scottish mechanical engineer and inventor"
Q240782,"Harriet Taylor Mill","British philosopher"
Q240826,"Colin St John Wilson","British architect (1922-2007)"
Q240922,"Kathleen Ferrier","English contralto (1912–1953)"
Q241080,"John Braithwaite","English engineer (1797–1870)"
Q241233,"Princess Augusta Sophia of the United Kingdom","sixth child and second daughter of King George III and Queen Charlotte"
Q242147,"Emma Darwin","wife of Charles Darwin"
Q242469,"Mary Jane Kelly","Whitechapel victim"
Q242542,"Margaret Murray","British egyptologist and anthropologist"
Q242666,"Beatrice Webb","English sociologist, economist, socialist, and social reformer (1858-1943)"
Q242752,"Mary Garden","Scottish opera singer (1874-1967)"
Q242876,"Princess Marie Louise of Schleswig-Holstein","British princess"
Q242989,"Venetia Burney","British schoolteacher, namer of the dwarf planet Pluto"
Q243011,"Lady Randolph Churchill","American-born British wife of Lord Randolph Churchill, mother of Winston Churchill, editor"
Q243110,"Isabel Burton","English writer, explorer and adventurer"
Q243121,"Gretchen Franklin","English actress (1911-2005)"
Q243419,"Julian Huxley","English biologist, philosopher, author"
Q243705,"Robert Gascoyne-Cecil, 3rd Marquess of Salisbury","British politician and prime minister (1830-1903)"
Q245684,"W. Sidney Allen","English linguist and classical philologist"
Q245913,"George Ratcliffe Woodward","English composer"
Q245935,"Lady Louisa Stuart","Daughter of British Prime Minister"
Q246018,"John Mason Neale","Anglican priest and hymnwriter"
Q246073,"Thomas Helmore","Anglican priest who was a choirmaster"
Q246135,"Mary Lacy","British sailor, shipwright and memoirist"
Q246726,"William O'Brien","Irish nationalist journalist and politician (1852-1928)"
Q246753,"Jack Reynolds","British association football player (1869-1917)"
Q246913,"Charles Wood","Irish composer and teacher"
Q246915,"Princess Alice, Duchess of Gloucester","wife of Prince Henry, Duke of Gloucester"
Q246953,"Robert Hugh Benson","British writer and priest"
Q247473,"Charles Reade","British writer"
Q247977,"Jack Dunn","figure skater"
Q248767,"John Templeton","American-born British stock investor, businessman and philanthropist"
Q249544,"Arthur Hailey","British writer"
Q249582,"Ethelbert William Bullinger","British Anglican clergyman, biblical scholar and theologian (1837-1913)"
Q249724,"William Lawson","English born Australian explorer and politician (1774–1850)"
Q249816,"William Hunt","English cleric and historian"
Q249849,"Gerard Lander","Anglican bishop"
Q249984,"Robin Gandy","British mathematician and logician"
Q250013,"Herbert Bamlett","Football referee and manager (1882-1941)"
Q250732,"John Linnell","British artist (1792-1882)"
Q251140,"Alec Down","English archaeologist"
Q251598,"Eugene F. Kinkead","American politician (1876-1960)"
Q251756,"Arthur Gilligan","English cricketer (1894-1976)"
Q252076,"Dickie Baugh","English footballer (1864-1929)"
Q252196,"Leslie Rundle","British Army general"
Q252307,"Guy Boothby","Australian writer"
Q252593,"John Gunn","English cricketer (1876-1963)"
Q253324,"Ursula Dronke","British scholar of Old Norse and medieval studies"
Q253512,"John Seymour Lucas","British artist: painter and illustrator, (sometimes?) signed ""Seymour Lucas"" (1849-1923)"
Q253629,"John Harris","Scottish footballer nicknamed ""Gentleman John"" (1917-1988)"
Q253875,"Elizabeth Gould","English artist, illustrator and lithographer"
Q253984,"Frank Knowles","English footballer (1891-1951)"
Q254305,"John Robert Gregg","Irish inventor and writer"
Q254858,"Emily Davison","British activist who fought for women's suffrage"
Q255340,"Tom Johnston","Scottish socialist and politician (1881-1965)"
Q255431,"John Pearson","British footballer (1868-1931)"
Q255492,"Edward Gibbon Wakefield","New Zealand politician (1796-1862)"
Q255552,"Ken Day","English cricketer (1919-1991)"
Q255988,"Mortimer Durand","British diplomat (1850-1924)"
Q256052,"Edward Arber","English academic and writer"
Q256054,"Lajos Bíró","Hungarian novelist, playwright, and screenwriter"
Q256785,"Kim Peacock","British actor (1901-1966)"
Q256951,"Princess Patricia of Connaught","British princess (1886-1974); younger daughter of Prince Arthur, Duke of Connaught, and Princess Louise Margaret of Prussia"
Q257227,"Princess Sophia of the United Kingdom","British princess"
Q257281,"Benjamin Jesty","British farmer and doctor"
Q257604,"Princess Amelia of the United Kingdom","daughter of King George III of the United Kingdom"
Q257697,"John Litchfield","British politician (1903-1993)"
Q257895,"James E. Buttersworth","British artist (1817-1894)"
Q257928,"William Scott","British artist (1913-1989)"
Q258001,Ouida,"British novelist"
Q258151,"Henry Drummond","British banker, politician and writer (1786-1860)"
Q258600,"Barbara Margaret Trimble","Welsh writer"
Q258629,"Samuel Pasco","Confederate Army soldier (1834-1917)"
Q258656,"Sarah Aaronsohn","Jewish spy working for the British in World War I"
Q258887,"Eglantyne Jebb","British social reformer, founder of ""Save the Children"""
Q259185,"Peg Entwistle","Welsh actress"
Q259530,"Frances Burney","English satirical novelist, diarist, playwright (1752-1840)"
Q259719,"Bobby Beale","English footballer (1884-1950)"
Q259921,"Edith Sitwell","British poet"
Q260185,"Arthur Wood","English cricketer from Yorkshire (1898-1973)"
Q260262,"Vivian Stuart","British writer and medical officer"
Q260579,"Charles Holloway","English cricketer (1789-1846)"
Q260598,"Don Finlay","British athlete and RAF officer"
Q261007,"William Allingham","Irish man of letters and poet"
Q261452,"Adelaide Anderson","British civil servant and labour activist"
Q261623,"John Paget","British writer"
Q261722,"Thomas Carlyle","Scottish lawyer and ""apostle"" of the Catholic Apostolic Church"
Q261944,"Uffa Fox","sailboat designer"
Q262027,"Maud Watson","English tennis player"
Q262755,"Dorothea Bland","Anglo-Irish actress and courtesan"
Q262827,"Thomas Lewis","British cardiologist"
Q262861,"Danny Blanchflower","Northern Irish footballer (1926-1993)"
Q262972,"Thomas Wildey","English philanthropist"
Q263094,"Elizabeth Stride","Whitechapel murder victim"
Q263112,"Catherine Eddowes","Whitechapel murder victim"
Q263123,"Annie Chapman","Whitechapel murder victim"
Q263157,"John Dilloway","English cricketer (1798-1869)"
Q263254,"Marie Corelli","British writer"
Q263348,"Charles Lanaway","English cricketer (1793-1870)"
Q263454,"Clementine Churchill, Baroness Spencer-Churchill","wife of Sir Winston Churchill and life peeress in her own right (1885-1977)"
Q263519,"Jerry Desmonde","British actor (1908-1967)"
Q263575,"Jane Digby","British aristocrat"
Q263939,"John Graham","British Army officer, born 1778"
Q264069,"George Clarkson Stanfield","British artist (1828–78)"
Q264239,"John Broadwood","Scottish founder of the piano manufacturer Broadwood and Sons"
Q264266,"Philip Corbet","painter from England (1802-1877)"
Q264269,"Anna Atkins","English botanist and photographer (1799-1871)"
Q264954,"Archie Camden","British musician"
Q265366,"Edward Knight","English cricketer (1794-1879)"
Q265937,"The Hon. Alice Keppel","British society hostess and mistress of Edward VII"
Q266165,"Aubrey Brain","British horn player and father of Dennis Brain"
Q266193,"Jim Finney","English football referee"
Q266637,"Paul Sandby","British artist (1725-1809)"
Q266663,"Oleg Polunin","British botanist (1914-1985)"
Q266969,"Frank Fahy","Irish politician (1880-1953)"
Q267061,"Robert Dundas, 2nd Viscount Melville","British politician (1771-1851)"
Q267178,"Geoffrey Studdert Kennedy","British saint"
Q267303,"Lena Rice","Irish tennis player"
Q267308,"Muriel Robb","English tennis player"
Q267352,"Ethel Thomson Larcombe","English badminton and tennis player"
Q267430,"Susan Sutherland Isaacs","Lancashire-born educational psychologist and psychoanalyst"
Q267481,"Laurence Oliphant","British author, traveller, diplomat and Christian mystic (1829-1888)"
Q267579,"Chandos Blair","British army officer and special envoy"
Q267820,"Wilfred Collet","British colonial administrator (1856-1929)"
Q268305,"Anna Laetitia Barbauld","English author (1743–1825)"
Q268474,"John Owen","English theologian (1616-1683)"
Q268702,"Mary Somerville","science writer and polymath"
Q269360,"Jane Morris","British artists' model"
Q271477,"Elizabeth Fry","social reformer from England (1780-1845)"
Q271543,"Effie Gray","Scottish artist and model (1828-1897)"
Q271648,"Marianne North","English philanthropist, painter, biologist and botanical artist (1830-1890)"
Q271666,"James Mill","Scottish historian, economist, political theorist and philosopher (1773-1836)"
Q271821,"Rosamund Clifford","Mistress of King Henry II of England"
Q271878,"George Curzon, 1st Marquess Curzon of Kedleston","British politician (1859-1925)"
Q271961,"Frances Trollope","English novelist and writer"
Q271998,"Princess Marie Louise of Hanover","Princess of Great Britain and Ireland, Duchess of Brunswick-Lüneburg"
Q272068,"Heather Angel","British actress"
Q272075,"Celia Johnson","English actress (1908–1982)"
Q272161,"Anne Isabella Byron","wife of Lord Byron"
Q272303,"Jane Wilde","Irish poet and writer, editor"
Q272537,"Felicia Hemans","English poet (1793-1835)"
Q272542,"Lady Charlotte Guest","Welsh translator and business woman"
Q272566,"Aubrey Beardsley","English illustrator and author (1872–1898)"
Q273099,"Blanche of England","English princess"
Q273448,"Miss Read","English novelist"
Q273468,"Blanche Bingley","English tennis player"
Q273656,"Beatrice Harrison","British musician"
Q273769,"Godfrey Hounsfield","English electrical engineer"
Q273826,"Mary Anne Clarke","English courtesan and diarist"
Q274056,"Anne Shelton","British singer"
Q274143,"Patrick Pearse","Irish revolutionary, shot by the British Army in 1916"
Q274264,"Sibyl Mary Hathaway","Dame of Sark from 1927 until her death"
Q274339,"Gwen John","Welsh painter (1876-1939)"
Q274627,"Anna Brownell Jameson","Irish-born English writer, 1794–1860"
Q274665,"Edith Maryon","British artist (1872 – 1924)"
Q274725,"Lydia Thompson","British burlesque performer"
Q274810,"Agnes Keyser","British philanthropist"
Q275006,"Agnes Tuckey","English tennis player"
Q275013,"Austen Henry Layard","British politician (1817–1894)"
Q275110,"Charles Stuart, 1st Baron Stuart de Rothesay","British diplomat (1779-1845)"
Q275111,"Frances Ridley Havergal","British poet and hymn-writer"
Q275137,"Louisa Beresford, Marchioness of Waterford","watercolorist and philanthropist (1818-1891)"
Q275145,"Charlotte Canning, Countess Canning","British artist and the first vicereine of India (1817-1861)"
Q275367,"Amy Levy","British poet, novelist, writer"
Q275465,"George Wyndham","British politician (1863-1913)"
Q275616,"Marian McPartland","British pianist, composer, writer and radio host"
Q275628,"Renée Vivien","British poet who wrote in the French language"
Q275775,"Gordon Thomas","British competitive cyclist"
Q275777,"Bob Maitland","English racing cyclist"
Q275793,"Nancy Cunard","English writer, heiress and political activist"
Q276028,"Frances Hodgson Burnett","English-American playwright and author"
Q276064,"Maria Zambaco","British artist and model of Greek descent (1843-1914)"
Q276118,"Anna Russell, Duchess of Bedford","British noble"
Q276125,"Eric Oliver","British motorcycle racer"
Q276126,"Mary Lamb","English writer, the sister and collaborator of Charles Lamb (writer)"
Q276241,"Elizabeth Medora Leigh","Byron Family"
Q276440,"Iris Tree","artists' model, poet (1897-1968)"
Q276466,"Lydia Becker","British activist, botanist and astronomist (1827-1890)"
Q277507,"Thomas Ashe","Irish revolutionary and politician (1885-1917)"
Q277579,"James Dewar","Scottish chemist and physicist"
Q277594,"Adam Black","Scottish publisher and politician (1784-1874)"
Q277859,"Hugh Morgan","Scottish footballer (1869-1930)"
Q278058,"Tom Chorlton","English footballer (1882-1952)"
Q278230,"Frank Howard","British artist (1805-1866)"
Q278399,"Ralph Abercromby","Scottish soldier and politician"
Q278565,"A. N. Sherwin-White","British historian of antiquity (1911-1993)"
Q278644,"A. E. Matthews","English actor"
Q278766,"Mimi Smith","aunt and parental guardian of John Lennon"
Q278825,"Charles Spurgeon","British preacher, author, pastor and evangelist"
Q278986,"A. O. L. Atkin","British mathematician"
Q279143,"George Joseph Smith","British serial killer"
Q279218,"Robert Kekewich","British Army general"
Q279258,"Jack Greenwell","English footballer and manager (1884-1942)"
Q280411,"Augustus Wall Callcott","British artist (1779-1844)"
Q280479,"Basil Hall","Royal Navy officer"
Q280556,"Alfred Duggan","British historian"
Q280748,"Henry Maitland Wilson, 1st Baron Wilson","British field marshal (1881-1964)"
Q280856,"George VI","King of the United Kingdom (1895-1952)"
Q284238,"John Crichton-Stuart, 2nd Marquess of Bute","British noble (1793-1848)"
Q284562,"Alan Bannister","Olympic cyclist"
Q284658,"Samuel John Stone","English clergyman"
Q284844,"George Collins","cricketer (1889-1949)"
Q284856,"Tommy Godwin","English racing cyclist"
Q285521,"Samuel Chase","Justice on the US Supreme Court (1741-1811)"
Q285566,"John Joly","Irish scientist"
Q285868,"William Wood, 1st Baron Hatherley","Lord Chancellor of Great Britain (1801-1881)"
Q353353,"Charles Erskine","Catholic cardinal"
Q353369,"John Mitchell Kemble","English scholar and historian"
Q353395,"Peter Racine Fricker","English composer"
Q353467,"Marshall Hall","British neuroscientist"
Q353765,"Adela Florence Nicolson","English poet"
Q353816,"Francis Younghusband","British army explorer"
Q353855,"Thomas Lupo","English composer and viol player"
Q354250,"Hubert Parry","British composer, teacher and historian of music"
Q354266,"Thomas Ford","English composer"
Q354453,"Maurice Wilson","British mountain climber (1898-1934)"
Q354631,"Jeremiah Horrocks","English astronomer"
Q355086,"Thomas Edward Cliffe Leslie","Irish jurist and economist"
Q355520,"Laurence Doherty","English tennis player"
Q355583,"Donald McKinlay","Scottish footballer (1891-1959)"
Q355607,"Francis Ysidro Edgeworth","Irish economist (1845-1926)"
Q355686,"George Frederick Charles Searle","British physicist and teacher"
Q355785,"Joseph Locke","English civil engineer (1805-1860)"
Q355803,"John Farey","English geologist and writer"
Q356011,"Richard Claverhouse Jebb","British classical scholar and politician (1841-1905)"
Q356134,"Leonard Woolley","British archaeologist"
Q356361,"Alfred Milner, 1st Viscount Milner","British statesman and colonial administrator (1854-1925)"
Q356407,"John Snow","English epidemiologist and physician"
Q356620,"James Silk Buckingham","British politician (1786-1855)"
Q356794,"Freddie Mills","British boxer (1919-1965)"
Q357301,"John Newton","Anglican clergyman, slave trader and abolitionist (1725–1807)"
Q357473,"Joe Davis","English snooker and billiards player"
Q357480,"Victor Turner","British cultural anthropologist"
Q357548,"Francis Throckmorton","English Roman Catholic conspirator against Queen Elizabeth I (1554-1584)"
Q357792,"Edward John Eyre","British explorer and colonial administrator"
Q358195,"George Engleheart","British artist"
Q358244,"Francis Baily","British astronomer"
Q358754,"Edward Blyth","English zoologist and pharmacist"
Q358761,"Alec Reeves","British engineer"
Q358851,"Joe Hewitt","English footballer (1881-1971)"
Q358904,"James Douglas","governor of British Columbia; (1803–1877)"
Q359087,"Charles Gmelin","British athlete and olympian (1872-1950)"
Q359248,"György Jendrassik","Hungarian physicist and mechanical engineer"
Q359477,"Jack Crawford","British Royal Navy sailor (1775-1831)"
Q359506,"Mark Gertler","British artist (1891-1939)"
Q359668,"Joe Mercer","English footballer and manager (1914-1990)"
Q359757,"John Sebastian Helmcken","Canadian politician and physician (1824-1920)"
Q359762,"Dick Allman","British footballer (1883-1943)"
Q360808,"John Tyndall","Irish physicist"
Q360867,"Reginald Ernest Moreau","English ornithologist and civil servant"
Q361386,"Edward Frankland","English chemist"
Q361461,"Douglas Wilmer","British actor (1920 – 2016)"
Q361900,"Roderick Murchison, 1st Baronet","geologist (1792-1871)"
Q362448,"Willis Edwards","English footballer and manager (1903-1988)"
Q362994,"Ernest Wild","British explorer"
Q363483,"Adolf Neubauer","Hungarian Jewish academic (1831 – 1907)"
Q363671,"John Hall","New Zealand politician (1824-1907)"
Q363729,"Siegfried Sassoon","English poet, diarist and memoirist"
Q364264,"John William Polidori","English writer and physician"
Q364575,"J. A. Todd","English mathematician"
